tier,category,subcategory,product,quantity,unit_price,total_price,trx_id,date
premium,snacks,chips,potato_chips_150g,1,16800,16800,1,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16100,16100,1,2026-01-12
premium,vegetables,leafy_greens,spinach,1,3900,3900,1,2026-01-12
premium,beverages,soda,cola_500mL,1,19900,19900,1,2026-01-12
premium,vegetables,leafy_greens,spinach,1,3700,3700,1,2026-01-12
premium,vegetables,leafy_greens,kale,1,5300,5300,1,2026-01-12
premium,fruits,berries,strawberries,2,4600,9200,2,2026-01-12
premium,beverages,soda,cola_500mL,1,20200,20200,2,2026-01-12
premium,beverages,soda,cola_500mL,1,19800,19800,2,2026-01-12
premium,beverages,soda,cola_500mL,1,21000,21000,2,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16200,16200,2,2026-01-12
premium,fruits,berries,blueberries,2,6500,13000,2,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4500,4500,3,2026-01-12
premium,snacks,chips,potato_chips_150g,2,17200,34400,3,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4000,4000,3,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17500,17500,3,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17500,17500,4,2026-01-12
premium,beverages,soda,cola_500mL,1,22100,22100,4,2026-01-12
premium,beverages,soda,cola_500mL,3,22200,66600,4,2026-01-12
premium,vegetables,leafy_greens,spinach,1,4400,4400,4,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16400,16400,4,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3900,3900,4,2026-01-12
premium,vegetables,leafy_greens,kale,2,4700,9400,4,2026-01-12
premium,beverages,soda,cola_500mL,1,21300,21300,4,2026-01-12
premium,fruits,berries,blueberries,1,5100,5100,4,2026-01-12
premium,vegetables,leafy_greens,kale,1,4900,4900,4,2026-01-12
premium,beverages,soda,cola_500mL,2,21700,43400,5,2026-01-12
premium,vegetables,leafy_greens,kale,1,5400,5400,5,2026-01-12
premium,beverages,water,mineral_water_600mL,2,4200,8400,5,2026-01-12
premium,snacks,chips,potato_chips_150g,1,18000,18000,5,2026-01-12
premium,vegetables,leafy_greens,spinach,1,4500,4500,5,2026-01-12
premium,beverages,soda,cola_500mL,1,23200,23200,5,2026-01-12
premium,snacks,chips,potato_chips_150g,1,18200,18200,5,2026-01-12
premium,snacks,chips,potato_chips_150g,3,15800,47400,5,2026-01-12
premium,snacks,chips,potato_chips_150g,2,16300,32600,5,2026-01-12
premium,fruits,berries,strawberries,1,5200,5200,6,2026-01-12
premium,fruits,berries,strawberries,1,4900,4900,6,2026-01-12
premium,fruits,berries,strawberries,2,5400,10800,6,2026-01-12
premium,beverages,soda,cola_500mL,1,19200,19200,6,2026-01-12
premium,vegetables,leafy_greens,kale,1,5700,5700,6,2026-01-12
