session_id,user_id,activity,activity_datetime
20230101-00000001,20230101-00000018,landing_page,2023-01-01 08:37:30.000000000
20230101-00000001,20230101-00000018,product_view,2023-01-01 08:41:23.037085673
20230101-00000001,20230101-00000018,add_to_cart,2023-01-01 08:46:24.083379698
20230101-00000001,20230101-00000018,checkout,2023-01-01 08:51:59.859339854
20230101-00000001,20230101-00000018,paid,2023-01-01 08:52:42.212077335
20230101-00000002,20230101-00000037,landing_page,2023-01-01 09:44:03.000000000
20230101-00000003,20230101-00000038,landing_page,2023-01-01 11:32:51.000000000
20230101-00000004,20230101-00000048,landing_page,2023-01-01 17:59:25.000000000
20230101-00000004,20230101-00000048,product_view,2023-01-01 18:02:18.498327095
20230101-00000004,20230101-00000048,add_to_cart,2023-01-01 18:03:42.555021825
20230102-00000001,20230101-00000039,landing_page,2023-01-02 10:47:51.000000000
20230102-00000001,20230101-00000039,product_view,2023-01-02 10:48:02.714308591
20230102-00000001,20230101-00000039,add_to_cart,2023-01-02 10:55:54.777261667
20230102-00000001,20230101-00000039,checkout,2023-01-02 11:01:59.730157505
20230102-00000001,20230101-00000039,paid,2023-01-02 11:10:12.779915799
20230102-00000002,20230102-00000052,landing_page,2023-01-02 22:47:14.000000000
20230102-00000002,20230102-00000052,product_view,2023-01-02 22:47:25.474195264
20230102-00000002,20230102-00000052,add_to_cart,2023-01-02 22:49:03.864143975
20230103-00000001,20230101-00000026,landing_page,2023-01-03 08:46:22.000000000
20230103-00000001,20230101-00000026,product_view,2023-01-03 08:49:04.839134728
20230103-00000002,20230101-00000027,landing_page,2023-01-03 21:07:52.000000000
20230107-00000001,20230101-00000046,landing_page,2023-01-07 13:42:44.000000000
20230107-00000001,20230101-00000046,product_view,2023-01-07 13:43:02.190415512
20230107-00000002,20230101-00000017,landing_page,2023-01-07 17:44:39.000000000
20230107-00000003,20230103-00000054,landing_page,2023-01-07 20:24:24.000000000
20230108-00000001,20230106-00000060,landing_page,2023-01-08 14:15:58.000000000
20230108-00000001,20230106-00000060,product_view,2023-01-08 14:18:19.657025441
20230108-00000002,20230101-00000027,landing_page,2023-01-08 16:02:38.000000000
20230108-00000003,20230101-00000024,landing_page,2023-01-08 16:11:49.000000000
20230108-00000004,20230101-00000006,landing_page,2023-01-08 16:22:21.000000000
20230109-00000001,20230106-00000060,landing_page,2023-01-09 06:21:27.000000000
20230109-00000002,20230101-00000045,landing_page,2023-01-09 17:43:56.000000000
20230109-00000002,20230101-00000045,product_view,2023-01-09 17:44:25.543938082
20230109-00000002,20230101-00000045,add_to_cart,2023-01-09 17:47:38.735288262
20230109-00000002,20230101-00000045,checkout,2023-01-09 17:51:19.158726179
20230110-00000001,20230101-00000037,landing_page,2023-01-10 08:13:20.000000000
20230110-00000001,20230101-00000037,product_view,2023-01-10 08:15:05.874202508
20230110-00000002,20230101-00000022,landing_page,2023-01-10 19:45:36.000000000
20230112-00000001,20230101-00000039,landing_page,2023-01-12 11:10:26.000000000
20230112-00000002,20230101-00000030,landing_page,2023-01-12 19:31:11.000000000
20230112-00000002,20230101-00000030,product_view,2023-01-12 19:34:17.817393850
20230112-00000003,20230112-00000078,landing_page,2023-01-12 20:35:02.000000000
20230112-00000003,20230112-00000078,product_view,2023-01-12 20:35:16.922197939
20230112-00000003,20230112-00000078,add_to_cart,2023-01-12 20:35:37.971205942
20230112-00000003,20230112-00000078,checkout,2023-01-12 20:41:54.756339317
20230112-00000003,20230112-00000078,paid,2023-01-12 20:44:46.765661839
20230113-00000001,20230110-00000071,landing_page,2023-01-13 14:36:20.000000000
20230113-00000001,20230110-00000071,product_view,2023-01-13 14:37:55.587396413
20230113-00000001,20230110-00000071,add_to_cart,2023-01-13 14:40:52.766154120
20230113-00000001,20230110-00000071,checkout,2023-01-13 14:48:47.310673976
20230113-00000001,20230110-00000071,paid,2023-01-13 14:51:35.825312951
20230113-00000002,20230101-00000033,landing_page,2023-01-13 15:25:24.000000000
20230113-00000002,20230101-00000033,product_view,2023-01-13 15:26:36.197086498
20230113-00000003,20230101-00000002,landing_page,2023-01-13 21:17:04.000000000
20230114-00000001,20230101-00000030,landing_page,2023-01-14 07:03:02.000000000
20230114-00000001,20230101-00000030,product_view,2023-01-14 07:05:54.868636360
20230114-00000002,20230101-00000001,landing_page,2023-01-14 10:04:57.000000000
20230114-00000002,20230101-00000001,product_view,2023-01-14 10:05:09.214354661
20230114-00000003,20230102-00000049,landing_page,2023-01-14 11:21:12.000000000
20230114-00000003,20230102-00000049,product_view,2023-01-14 11:27:59.679634433
20230114-00000004,20230114-00000085,landing_page,2023-01-14 14:06:04.000000000
20230114-00000005,20230108-00000064,landing_page,2023-01-14 16:06:38.000000000
20230114-00000005,20230108-00000064,product_view,2023-01-14 16:07:33.439887726
20230114-00000006,20230101-00000047,landing_page,2023-01-14 20:21:16.000000000
20230114-00000006,20230101-00000047,product_view,2023-01-14 20:24:05.992619509
20230114-00000006,20230101-00000047,add_to_cart,2023-01-14 20:28:04.331030740
20230114-00000006,20230101-00000047,checkout,2023-01-14 20:35:26.331100065
20230114-00000006,20230101-00000047,paid,2023-01-14 21:19:38.677124826
20230114-00000007,20230102-00000052,landing_page,2023-01-14 21:06:11.000000000
20230114-00000007,20230102-00000052,product_view,2023-01-14 21:07:45.408911776
20230115-00000001,20230101-00000023,landing_page,2023-01-15 10:34:40.000000000
20230115-00000002,20230114-00000084,landing_page,2023-01-15 18:30:28.000000000
20230115-00000003,20230107-00000062,landing_page,2023-01-15 19:02:54.000000000
20230115-00000004,20230113-00000081,landing_page,2023-01-15 20:13:14.000000000
20230116-00000001,20230112-00000077,landing_page,2023-01-16 07:49:20.000000000
20230116-00000001,20230112-00000077,product_view,2023-01-16 07:50:09.243117108
20230116-00000001,20230112-00000077,add_to_cart,2023-01-16 07:55:40.314698345
20230116-00000002,20230107-00000061,landing_page,2023-01-16 18:55:08.000000000
20230116-00000003,20230101-00000002,landing_page,2023-01-16 22:23:10.000000000
20230117-00000001,20230101-00000028,landing_page,2023-01-17 11:12:47.000000000
20230117-00000001,20230101-00000028,product_view,2023-01-17 11:16:42.399798874
20230117-00000002,20230101-00000046,landing_page,2023-01-17 12:03:12.000000000
20230117-00000002,20230101-00000046,product_view,2023-01-17 12:08:04.017733238
20230117-00000002,20230101-00000046,add_to_cart,2023-01-17 13:00:54.191886363
20230117-00000002,20230101-00000046,checkout,2023-01-17 13:08:22.304870804
20230117-00000002,20230101-00000046,paid,2023-01-17 13:14:39.740060442
20230117-00000003,20230105-00000057,landing_page,2023-01-17 14:34:27.000000000
20230117-00000003,20230105-00000057,product_view,2023-01-17 14:35:16.830272489
20230117-00000004,20230102-00000051,landing_page,2023-01-17 21:07:39.000000000
20230117-00000004,20230102-00000051,product_view,2023-01-17 21:11:23.149318615
20230117-00000004,20230102-00000051,add_to_cart,2023-01-17 21:17:06.893213271
20230117-00000004,20230102-00000051,checkout,2023-01-17 21:27:34.737584374
20230117-00000004,20230102-00000051,paid,2023-01-17 21:50:07.927809583
20230118-00000001,20230106-00000059,landing_page,2023-01-18 11:30:20.000000000
20230118-00000001,20230106-00000059,product_view,2023-01-18 11:30:49.657141364
20230118-00000002,20230105-00000057,landing_page,2023-01-18 20:26:01.000000000
20230119-00000001,20230101-00000014,landing_page,2023-01-19 11:33:35.000000000
20230119-00000001,20230101-00000014,product_view,2023-01-19 11:34:32.372618648
