session_id,user_id,trx_id,date,total_price
20230101-00000001,20230101-00000018,20230101-00000001,2023-01-01 08:52:42.212077335,345000
20230102-00000001,20230101-00000039,20230102-00000002,2023-01-02 11:10:12.779915799,800000
20230112-00000003,20230112-00000078,20230112-00000003,2023-01-12 20:44:46.765661839,183700
20230113-00000001,20230110-00000071,20230113-00000004,2023-01-13 14:51:35.825312951,399600
20230114-00000006,20230101-00000047,20230114-00000005,2023-01-14 21:19:38.677124826,575400
20230117-00000002,20230101-00000046,20230117-00000006,2023-01-17 13:14:39.740060442,615800
20230117-00000004,20230102-00000051,20230117-00000007,2023-01-17 21:50:07.927809583,226200
20230121-00000009,20230108-00000066,20230121-00000008,2023-01-21 20:02:10.707461990,456200
20230124-00000002,20230118-00000093,20230124-00000009,2023-01-24 16:27:31.362537308,428100
20230125-00000003,20230101-00000042,20230125-00000010,2023-01-25 21:13:05.952936649,301200
20230126-00000003,20230101-00000022,20230126-00000011,2023-01-26 21:50:06.317399288,186600
20230127-00000003,20230122-00000106,20230127-00000012,2023-01-27 19:12:06.912787902,446100
20230128-00000008,20230127-00000117,20230128-00000013,2023-01-28 23:42:14.739109153,122600
20230129-00000002,20230121-00000103,20230129-00000014,2023-01-29 09:08:13.038272481,154100
20230130-00000002,20230116-00000091,20230130-00000015,2023-01-30 12:16:22.527440602,137700
20230203-00000004,20230101-00000029,20230203-00000016,2023-02-03 18:43:36.719212454,147600
20230204-00000004,20230101-00000041,20230204-00000017,2023-02-04 17:06:42.050174482,42400
20230204-00000007,20230101-00000035,20230204-00000018,2023-02-04 20:59:40.426978185,424800
20230205-00000001,20230118-00000093,20230205-00000019,2023-02-05 07:42:29.147977793,564400
20230205-00000003,20230101-00000021,20230205-00000020,2023-02-05 12:56:04.847485371,808100
20230206-00000002,20230107-00000062,20230206-00000021,2023-02-06 13:10:01.073199887,107200
20230207-00000005,20230116-00000090,20230208-00000022,2023-02-08 01:11:46.641775130,402100
20230208-00000001,20230127-00000117,20230208-00000023,2023-02-08 16:06:05.056779981,547100
20230209-00000001,20230208-00000157,20230209-00000024,2023-02-09 12:34:04.459937554,768000
20230211-00000004,20230101-00000024,20230211-00000025,2023-02-11 11:34:28.848288959,751800
20230211-00000006,20230120-00000100,20230211-00000026,2023-02-11 14:33:29.390145125,78800
20230211-00000007,20230101-00000035,20230212-00000027,2023-02-12 00:42:42.835003687,924000
20230214-00000003,20230101-00000008,20230214-00000028,2023-02-14 21:19:10.706941658,185300
20230215-00000002,20230205-00000147,20230215-00000029,2023-02-15 13:34:11.274648594,210400
20230215-00000003,20230120-00000100,20230215-00000030,2023-02-15 21:36:09.117249562,192300
20230216-00000007,20230119-00000096,20230216-00000031,2023-02-16 22:31:23.335577305,62700
20230217-00000001,20230125-00000114,20230217-00000032,2023-02-17 06:03:42.218508782,232000
20230217-00000004,20230217-00000179,20230217-00000033,2023-02-17 10:57:19.545036331,159200
20230218-00000002,20230212-00000163,20230218-00000034,2023-02-18 08:17:51.924477857,292300
20230218-00000004,20230111-00000073,20230218-00000035,2023-02-18 15:16:58.807086790,429300
20230218-00000007,20230207-00000148,20230218-00000036,2023-02-18 15:47:15.733981133,787800
20230219-00000009,20230217-00000179,20230219-00000037,2023-02-19 18:52:56.005023864,301000
20230223-00000002,20230216-00000177,20230223-00000038,2023-02-23 09:27:08.444322248,710200
20230223-00000005,20230120-00000100,20230223-00000039,2023-02-23 16:14:03.683775722,251200
20230224-00000004,20230128-00000123,20230224-00000040,2023-02-24 08:45:05.031997152,435800
20230225-00000003,20230208-00000157,20230225-00000041,2023-02-25 12:07:44.747754055,496300
20230226-00000003,20230213-00000167,20230226-00000042,2023-02-26 13:32:26.257790266,388000
20230226-00000005,20230101-00000007,20230226-00000043,2023-02-26 14:49:45.920768815,183800
20230226-00000017,20230111-00000073,20230227-00000044,2023-02-27 02:29:26.878032932,668200
20230228-00000002,20230226-00000211,20230228-00000045,2023-02-28 09:55:03.832508311,51100
20230301-00000004,20230225-00000209,20230301-00000046,2023-03-01 12:31:52.423024184,244000
20230302-00000002,20230211-00000159,20230302-00000047,2023-03-02 09:46:54.332380476,36100
20230304-00000005,20230221-00000196,20230304-00000048,2023-03-04 16:50:55.992143556,577400
20230306-00000006,20230303-00000229,20230306-00000049,2023-03-06 15:20:51.923208661,733600
20230309-00000007,20230220-00000192,20230309-00000050,2023-03-09 20:28:19.180257626,325600
20230309-00000011,20230101-00000046,20230309-00000051,2023-03-09 22:15:33.002959627,289300
20230310-00000007,20230221-00000196,20230310-00000052,2023-03-10 19:23:42.498898366,568100
20230311-00000013,20230101-00000024,20230311-00000053,2023-03-11 19:15:23.718497734,487800
20230312-00000001,20230115-00000087,20230312-00000054,2023-03-12 08:34:26.531702683,492000
20230312-00000004,20230226-00000211,20230312-00000055,2023-03-12 11:50:59.479030276,123400
20230313-00000003,20230101-00000015,20230313-00000056,2023-03-13 11:41:48.984434812,255500
20230314-00000002,20230216-00000174,20230314-00000057,2023-03-14 10:44:51.424521899,373000
20230314-00000005,20230101-00000041,20230314-00000058,2023-03-14 19:39:15.426215427,80300
20230315-00000001,20230228-00000219,20230315-00000059,2023-03-15 12:02:59.450179143,342900
20230315-00000004,20230105-00000055,20230315-00000060,2023-03-15 20:47:28.186143155,206800
20230317-00000009,20230314-00000259,20230317-00000061,2023-03-17 18:37:38.224415045,192400
20230318-00000002,20230118-00000093,20230318-00000062,2023-03-18 06:19:59.315828275,551400
20230318-00000012,20230129-00000131,20230318-00000063,2023-03-18 14:07:53.162033937,1064500
20230318-00000015,20230101-00000031,20230318-00000064,2023-03-18 14:37:58.972878153,659600
20230318-00000018,20230308-00000241,20230318-00000065,2023-03-18 21:55:44.414419223,160300
20230318-00000020,20230312-00000251,20230318-00000066,2023-03-18 19:01:23.451165123,347500
20230318-00000021,20230101-00000019,20230318-00000067,2023-03-18 18:54:07.682187919,441300
20230319-00000006,20230216-00000177,20230319-00000068,2023-03-19 15:59:44.610219454,428800
20230319-00000009,20230226-00000214,20230319-00000069,2023-03-19 18:52:25.169620538,540400
20230320-00000004,20230201-00000134,20230320-00000070,2023-03-20 10:48:57.547220442,277900
20230321-00000001,20230129-00000130,20230321-00000071,2023-03-21 09:18:00.482880310,327300
20230322-00000002,20230101-00000004,20230322-00000072,2023-03-22 08:30:52.274279382,916300
20230322-00000004,20230101-00000039,20230322-00000073,2023-03-22 08:50:04.391665284,1150600
20230323-00000001,20230101-00000019,20230323-00000074,2023-03-23 10:16:30.384582793,421800
20230323-00000004,20230109-00000068,20230323-00000075,2023-03-23 23:40:41.213407036,56800
20230323-00000005,20230319-00000281,20230323-00000076,2023-03-23 19:31:48.099173720,237700
20230324-00000002,20230323-00000293,20230324-00000077,2023-03-24 08:44:40.865700830,323200
20230324-00000003,20230101-00000004,20230324-00000078,2023-03-24 08:34:41.462313459,533600
20230324-00000009,20230223-00000205,20230324-00000079,2023-03-24 17:57:33.941285132,1027600
20230325-00000007,20230121-00000102,20230325-00000080,2023-03-25 08:35:59.318384618,224100
20230325-00000008,20230128-00000122,20230325-00000081,2023-03-25 09:01:15.948711571,262900
20230325-00000009,20230214-00000170,20230325-00000082,2023-03-25 10:38:41.789226322,617900
20230325-00000014,20230131-00000132,20230325-00000083,2023-03-25 14:41:49.912519040,790400
20230325-00000018,20230220-00000192,20230325-00000084,2023-03-25 16:51:50.889189448,216200
20230325-00000023,20230316-00000269,20230325-00000085,2023-03-25 20:59:12.600700919,371200
20230327-00000001,20230112-00000075,20230327-00000086,2023-03-27 06:20:59.822698720,2132900
20230328-00000002,20230214-00000170,20230328-00000087,2023-03-28 06:40:10.428280177,598300
20230328-00000004,20230201-00000134,20230328-00000088,2023-03-28 11:55:28.408889237,196100
20230328-00000011,20230101-00000028,20230328-00000089,2023-03-28 21:03:26.475965686,1122300
20230329-00000002,20230223-00000205,20230329-00000090,2023-03-29 08:34:58.174174116,1326600
20230329-00000003,20230310-00000246,20230329-00000091,2023-03-29 09:16:16.741516165,255800
20230330-00000002,20230216-00000174,20230330-00000092,2023-03-30 07:49:45.784327959,447000
20230330-00000007,20230222-00000200,20230330-00000093,2023-03-30 14:51:56.062234566,754700
20230331-00000004,20230317-00000271,20230331-00000094,2023-03-31 19:27:53.478400907,40900
20230331-00000005,20230101-00000033,20230331-00000095,2023-03-31 19:52:03.332592149,274400
20230401-00000001,20230101-00000004,20230401-00000096,2023-04-01 06:12:55.138201675,1149400
20230401-00000009,20230127-00000118,20230401-00000097,2023-04-01 15:23:21.373433873,404800
20230402-00000002,20230318-00000279,20230402-00000098,2023-04-02 09:15:23.723495099,473200
20230402-00000004,20230219-00000188,20230402-00000099,2023-04-02 10:45:11.700910461,181500
20230402-00000007,20230325-00000307,20230402-00000100,2023-04-02 11:23:33.987410356,112700
20230402-00000015,20230101-00000029,20230402-00000101,2023-04-02 21:35:22.051014792,116200
20230403-00000001,20230402-00000330,20230403-00000102,2023-04-03 07:18:32.390053357,190800
20230403-00000004,20230225-00000209,20230403-00000103,2023-04-03 09:53:31.841534649,242600
20230403-00000011,20230109-00000070,20230403-00000104,2023-04-03 18:15:10.447235034,297500
20230404-00000002,20230101-00000039,20230404-00000105,2023-04-04 06:22:00.267513372,1942700
20230404-00000004,20230101-00000015,20230404-00000106,2023-04-04 15:11:22.131472809,158800
20230404-00000006,20230213-00000167,20230404-00000107,2023-04-04 15:56:34.481221999,341200
20230404-00000009,20230326-00000314,20230404-00000108,2023-04-04 20:18:41.648198080,54500
20230405-00000004,20230101-00000013,20230405-00000109,2023-04-05 13:27:55.355040380,176800
20230406-00000001,20230101-00000026,20230406-00000110,2023-04-06 04:43:24.705556426,1030600
20230407-00000001,20230112-00000075,20230407-00000111,2023-04-07 08:28:04.534077902,2040500
20230408-00000006,20230101-00000042,20230408-00000112,2023-04-08 10:11:55.548078342,60200
20230408-00000007,20230208-00000155,20230408-00000113,2023-04-08 11:19:11.649557931,189000
20230408-00000011,20230404-00000342,20230408-00000114,2023-04-08 13:48:28.277475953,407700
20230408-00000014,20230306-00000235,20230408-00000115,2023-04-08 17:26:27.595834064,929900
20230409-00000010,20230227-00000217,20230409-00000116,2023-04-09 17:58:18.343525033,396700
20230409-00000013,20230127-00000117,20230409-00000117,2023-04-09 18:38:12.220920752,366700
20230410-00000003,20230314-00000262,20230410-00000118,2023-04-10 14:56:01.371784088,869300
20230411-00000003,20230203-00000139,20230411-00000119,2023-04-11 11:09:26.284501306,282100
20230411-00000007,20230125-00000115,20230411-00000120,2023-04-11 20:34:45.467166081,135200
20230412-00000007,20230325-00000310,20230412-00000121,2023-04-12 09:57:57.893255920,54300
20230412-00000009,20230227-00000216,20230412-00000122,2023-04-12 13:04:00.260624784,147400
20230414-00000002,20230318-00000279,20230414-00000123,2023-04-14 11:42:15.262883260,622500
20230414-00000005,20230319-00000281,20230414-00000124,2023-04-14 14:22:44.482370712,287400
