trx_id,user_id,date,product,quantity,unit_price,total_price
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,frozen_dumplings,1,40600,40600
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,mixed_vegetables_1kg,2,33700,67400
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,whole_chicken_1kg,1,59800,59800
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,lamb_leg_1kg,6,165600,993600
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,all_purpose_cleaner,1,25400,25400
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,tuna_steak_500g,1,70100,70100
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,almonds_200g,2,60600,121200
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,chicken_thigh_500g,2,38600,77200
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,lettuce,7,3400,23800
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,teriyaki_marinade_250mL,3,24600,73800
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,chocolate_granola_bars_100g,1,25900,25900
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,blueberries,2,15900,31800
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,honey_granola_bars_100g,1,28500,28500
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,peaches,1,3200,3200
20230101-00000001,20230101-00000036,2023-01-01 15:55:46.498841733,dori_fillet_500g,1,42900,42900
20230101-00000002,20230101-00000046,2023-01-01 19:03:26.327582973,white_rice_5kg,8,63100,504800
20230101-00000002,20230101-00000046,2023-01-01 19:03:26.327582973,cinnamon,9,10500,94500
20230101-00000002,20230101-00000046,2023-01-01 19:03:26.327582973,jasmine_tea_100g,3,16700,50100
20230101-00000002,20230101-00000046,2023-01-01 19:03:26.327582973,italian_dressing_250mL,8,16200,129600
20230101-00000002,20230101-00000046,2023-01-01 19:03:26.327582973,oat_milk_1L,7,28200,197400
20230101-00000002,20230101-00000046,2023-01-01 19:03:26.327582973,unsalted_butter_200g,8,23000,184000
20230101-00000002,20230101-00000046,2023-01-01 19:03:26.327582973,salmon_fillet_500g,6,85500,513000
20230101-00000002,20230101-00000046,2023-01-01 19:03:26.327582973,watermelon,4,58500,234000
