session_id,trx_id,date,tier
20220101-00000003,20220101-00000001,2022-01-01 10:52:27.229124141,budget_tier
20220102-00000002,20220102-00000001,2022-01-02 13:04:46.945716324,premium_tier
20220102-00000009,20220102-00000002,2022-01-02 21:19:17.778881003,budget_tier
20220102-00000011,20220103-00000001,2022-01-03 04:31:53.106020932,budget_tier
20220102-00000012,20220103-00000002,2022-01-03 00:16:15.978395260,random_tier
20220103-00000005,20220104-00000001,2022-01-04 00:27:01.725624395,premium_tier
20220104-00000004,20220104-00000001,2022-01-04 12:13:45.480681313,budget_tier
20220105-00000004,20220105-00000001,2022-01-05 17:52:53.404073809,budget_tier
20220105-00000005,20220105-00000002,2022-01-05 23:14:31.429197460,random_tier
20220106-00000003,20220106-00000001,2022-01-06 19:27:50.672882080,random_tier
20220107-00000003,20220107-00000001,2022-01-07 18:40:45.487476908,budget_tier
20220110-00000002,20220110-00000001,2022-01-10 15:27:40.542277439,random_tier
20220110-00000004,20220110-00000002,2022-01-10 20:11:23.804855726,budget_tier
20220111-00000002,20220111-00000001,2022-01-11 19:40:20.696629899,random_tier
20220112-00000005,20220112-00000001,2022-01-12 15:55:35.177254426,budget_tier
20220116-00000005,20220116-00000001,2022-01-16 17:10:05.734139316,budget_tier
20220116-00000006,20220116-00000002,2022-01-16 18:08:25.217272867,budget_tier
20220117-00000005,20220117-00000001,2022-01-17 16:21:14.585185649,budget_tier
20220117-00000008,20220117-00000002,2022-01-17 19:56:07.707090581,random_tier
20220119-00000001,20220119-00000001,2022-01-19 12:08:47.020034743,random_tier
20220120-00000002,20220120-00000001,2022-01-20 13:36:34.269620110,budget_tier
20220120-00000004,20220120-00000002,2022-01-20 16:48:11.696432759,budget_tier
20220121-00000001,20220121-00000001,2022-01-21 10:46:33.699069979,budget_tier
20220121-00000003,20220121-00000002,2022-01-21 17:56:52.239936132,random_tier
20220123-00000002,20220123-00000001,2022-01-23 12:00:10.923771648,budget_tier
20220123-00000005,20220123-00000002,2022-01-23 15:26:27.623813045,budget_tier
20220123-00000008,20220123-00000003,2022-01-23 18:31:46.685176768,budget_tier
20220124-00000001,20220124-00000001,2022-01-24 16:03:14.554096298,random_tier
20220125-00000002,20220125-00000001,2022-01-25 11:31:13.010410515,random_tier
20220125-00000004,20220125-00000002,2022-01-25 14:27:44.224883286,random_tier
20220126-00000003,20220126-00000001,2022-01-26 18:39:23.858748551,random_tier
20220127-00000005,20220127-00000001,2022-01-27 12:08:39.399851134,budget_tier
20220127-00000006,20220127-00000002,2022-01-27 13:05:27.204620267,random_tier
20220129-00000004,20220129-00000001,2022-01-29 20:48:57.487783971,budget_tier
20220129-00000005,20220129-00000002,2022-01-29 23:15:06.442265577,random_tier
20220131-00000005,20220131-00000001,2022-01-31 16:40:32.786628583,random_tier
20220131-00000008,20220131-00000002,2022-01-31 19:44:59.494292255,random_tier
20220201-00000002,20220201-00000001,2022-02-01 16:09:29.235048400,random_tier
20220202-00000005,20220202-00000001,2022-02-02 20:28:36.499579614,budget_tier
20220202-00000006,20220202-00000002,2022-02-02 20:32:22.311900643,random_tier
20220203-00000001,20220203-00000001,2022-02-03 10:43:02.970119290,budget_tier
20220203-00000002,20220203-00000002,2022-02-03 16:54:24.152911920,budget_tier
20220203-00000003,20220203-00000003,2022-02-03 23:16:44.184739489,random_tier
20220204-00000004,20220204-00000001,2022-02-04 10:29:10.741659368,premium_tier
20220204-00000005,20220204-00000002,2022-02-04 12:21:01.758262798,budget_tier
