trx_id,tier,date,product,quantity,unit_price,total_price
20220105-00000001,budget,2022-01-05 19:08:02.000197929,peas_1kg,3,27200,81600
20220105-00000001,budget,2022-01-05 19:08:02.000197929,honeydew,1,36200,36200
20220105-00000001,budget,2022-01-05 19:08:02.000197929,whole_chicken_1kg,1,55800,55800
20220106-00000001,premium,2022-01-06 13:51:01.892342744,laundry_detergent,1,35000,35000
20220106-00000001,premium,2022-01-06 13:51:01.892342744,plums,1,3100,3100
20220106-00000001,premium,2022-01-06 13:51:01.892342744,honey_granola_bars_100g,1,25700,25700
20220106-00000001,premium,2022-01-06 13:51:01.892342744,premium_white_rice_5kg,1,111300,111300
20220106-00000001,premium,2022-01-06 13:51:01.892342744,chicken_thigh_500g,1,37200,37200
20220106-00000001,premium,2022-01-06 13:51:01.892342744,whole_wheat_bread,1,23900,23900
20220108-00000001,random,2022-01-08 12:45:29.664116726,mixed_fruit_juice_750mL,1,42300,42300
20220108-00000001,random,2022-01-08 12:45:29.664116726,shampoo,1,23300,23300
20220108-00000001,random,2022-01-08 12:45:29.664116726,premium_white_rice_5kg,2,103300,206600
20220108-00000001,random,2022-01-08 12:45:29.664116726,margarine_200g,3,8300,24900
20220108-00000002,budget,2022-01-08 13:15:59.792531575,potato_chips_150g,1,18300,18300
20220108-00000002,budget,2022-01-08 13:15:59.792531575,mozzarella_cheese_200g,1,48900,48900
20220108-00000002,budget,2022-01-08 13:15:59.792531575,whole_chicken_1kg,1,57200,57200
20220108-00000003,budget,2022-01-08 16:53:12.108122605,white_rice_5kg,1,68700,68700
20220108-00000003,budget,2022-01-08 16:53:12.108122605,lemons,2,4600,9200
20220109-00000001,budget,2022-01-09 12:49:57.593560214,limes,2,1600,3200
20220109-00000002,budget,2022-01-09 19:10:43.974553185,watermelon,1,47000,47000
20220109-00000002,budget,2022-01-09 19:10:43.974553185,regular_eggs_10pcs,3,19600,58800
20220109-00000002,budget,2022-01-09 19:10:43.974553185,salmon_fillet_500g,1,85800,85800
20220113-00000001,random,2022-01-13 14:14:36.740216637,muffin,1,9100,9100
20220113-00000001,random,2022-01-13 14:14:36.740216637,dish_soap,1,19400,19400
20220113-00000001,random,2022-01-13 14:14:36.740216637,salmon_fillet_500g,1,86600,86600
20220113-00000001,random,2022-01-13 14:14:36.740216637,toilet_paper,2,13600,27200
20220113-00000002,premium,2022-01-13 23:19:57.601225506,mayonnaise,2,16300,32600
20220113-00000002,premium,2022-01-13 23:19:57.601225506,cantaloupe,1,35900,35900
20220113-00000002,premium,2022-01-13 23:19:57.601225506,kale,2,5600,11200
20220113-00000002,premium,2022-01-13 23:19:57.601225506,spinach,2,3900,7800
20220113-00000002,premium,2022-01-13 23:19:57.601225506,mixed_vegetables_1kg,2,38400,76800
20220114-00000001,random,2022-01-14 06:58:47.855133329,plums,1,3100,3100
20220114-00000001,random,2022-01-14 06:58:47.855133329,corn_1kg,1,27100,27100
20220114-00000001,random,2022-01-14 06:58:47.855133329,black_tea_100g,1,16200,16200
20220114-00000001,random,2022-01-14 06:58:47.855133329,spinach,1,4000,4000
20220114-00000002,random,2022-01-14 12:55:50.380162634,chicken_thigh_500g,2,35300,70600
20220115-00000001,random,2022-01-15 13:57:21.074128055,lettuce,1,3400,3400
20220116-00000001,budget,2022-01-16 11:44:16.871272799,lettuce,1,2800,2800
20220116-00000002,random,2022-01-16 17:37:32.146407331,salmon_fillet_500g,2,90500,181000
20220116-00000002,random,2022-01-16 17:37:32.146407331,paprika,1,8300,8300
