tier,user_id,city,gender,acquisition_channel,registered_date,last_active_date
random,20220101-00000001,north_jakarta,female,organic,2022-01-01,2022-01-01
premium,20220101-00000002,north_jakarta,female,organic,2022-01-01,2022-01-01
premium,20220101-00000003,west_jakarta,female,paid,2022-01-01,2022-01-01
random,20220101-00000004,north_jakarta,female,organic,2022-01-01,2022-01-01
random,20220101-00000005,north_jakarta,male,organic,2022-01-01,2022-01-01
budget,20220101-00000006,west_jakarta,female,paid,2022-01-01,2022-01-01
random,20220101-00000007,north_jakarta,female,paid,2022-01-01,2022-01-01
budget,20220101-00000008,central_jakarta,female,paid,2022-01-01,2022-01-01
budget,20220101-00000009,tangerang_city,female,organic,2022-01-01,2022-01-01
budget,20220101-00000010,north_jakarta,male,organic,2022-01-01,2022-01-01
budget,20220101-00000011,south_tangerang,male,paid,2022-01-01,2022-01-01
random,20220101-00000012,tangerang_city,female,organic,2022-01-01,2022-01-01
random,20220101-00000013,east_jakarta,male,organic,2022-01-01,2022-01-01
random,20220101-00000014,south_tangerang,female,paid,2022-01-01,2022-01-01
budget,20220101-00000015,tangerang_city,male,paid,2022-01-01,2022-01-01
random,20220101-00000016,south_jakarta,male,organic,2022-01-01,2022-01-01
budget,20220101-00000017,north_jakarta,male,paid,2022-01-01,2022-01-01
premium,20220101-00000018,north_jakarta,female,paid,2022-01-01,2022-01-01
premium,20220101-00000019,east_jakarta,male,paid,2022-01-01,2022-01-01
random,20220101-00000020,south_jakarta,female,paid,2022-01-01,2022-01-01
random,20220101-00000021,south_tangerang,female,paid,2022-01-01,2022-01-01
budget,20220101-00000022,north_jakarta,male,organic,2022-01-01,2022-01-01
